Título,Conteúdo_Comentário,Status_resposta,Data_Comentário,URL_Título
Avenue induz cliente ao erro para operação de câmbio,Boa tarde.Há poucos meses abri conta na Avenue com objetivo do apelo de ser um banco com taxas de câmbio mais atrativa,,Há 18 dias,https://www.reclameaqui.com.br/avenue-securities/avenue-induz-cliente-ao-erro-para-operacao-de-cambio_Pn-jGp85kBgAv3Im/
Péssimo atendimento!!!,"Não liberam o informe de rendimentos do ano calendário 2022, e você não consegue contato de jeito nenhum!",,Há 18 dias,https://www.reclameaqui.com.br/avenue-securities/pessimo-atendimento_mZn0ojEPfV84T6gM/
Conta re-aberta após encerramento,"Minha conta foi encerrada em 13/01/2023, conforme protoclo no email anexo.No Registrato consta que minha conta foi abe",,Há 18 dias,https://www.reclameaqui.com.br/avenue-securities/conta-re-aberta-apos-encerramento_KLoxRn08pId6oRNs/
Alteração do número de celular,Troquei meu número de celular e não tenho mais acesso a minha conta! Não consigo contato!,,Há 19 dias,https://www.reclameaqui.com.br/avenue-securities/alteracao-do-numero-de-celular_qa7SlkB5Hj6A1ReV/
Não consigo cancelar a minha conta,"Já tentei cancelar a conta umas 6 vezes não tem opção no aplicativo, não me atendem no chat e mais de 1 hora ligando o jeito agora",,Há 19 dias,https://www.reclameaqui.com.br/avenue-securities/nao-consigo-cancelar-a-minha-conta_t9Ul7HKPThP9BEt3/
"A Avenue está retendo incorretamente um imposto de renda. Estou desde dezembro tentando resolver, mas eles estão ignorando.",Desde o dia 26 de dezembro estou falando com eles sobre uma retenção de IR sobre dividendos recebidos de investimentos em ETFs. Mo,,Há 19 dias,https://www.reclameaqui.com.br/avenue-securities/a-avenue-esta-retendo-incorretamente-um-imposto-de-renda-estou-desde-dezem_tg7JHstwIpP85wpO/
Conta reaberta sem a minha autorização,Fiz o cancelamento da minha conta pela central e consultei no Registrato que ela foi reaberta dia 09/02/2023 sem o meu consentimen,,Há 19 dias,https://www.reclameaqui.com.br/avenue-securities/conta-reaberta-sem-a-minha-autorizacao_iphd9G5WotGWIwzE/
Cartão não funciona no exterior. 4 dias tentando resolver e nada!!! ATENDIMENTO [Editado pelo Reclame Aqui],O cartão não funciona no exterior. É a segunda reclamação..avisaram que estaria funcionando ontem e nada..a central tem horário li,,Há 19 dias,https://www.reclameaqui.com.br/avenue-securities/cartao-nao-funciona-no-exterior-4-dias-tentando-resolver-e-nada-atendim_u22B_NslSRdBUqAv/
Solicitação de Encerramento de Conta,"Olá, venho solicitar o encerramento definitivo da minha conta Avenue, tanto a bancária quanto da conta de investimentos, cartões, ",,Há 19 dias,https://www.reclameaqui.com.br/avenue-securities/solicitacao-de-encerramento-de-conta_qsje7d17KK6q8QlU/
Encerramento de conta,consta em aberto uma conta minha no registrato e gostaria de encerrar a mesma.,,Há 19 dias,https://www.reclameaqui.com.br/avenue-securities/encerramento-de-conta_FKYJVnZEH8RvIUN6/
Existem pendências para o cálculo de seus relatórios,"A Avenue pede para eu preencher dados faltantes (Pendências de transferência de custódia), sendo que eu NUNCA tive conta no exteri",,Há 19 dias,https://www.reclameaqui.com.br/avenue-securities/existem-pendencias-para-o-calculo-de-seus-relatorios_N7tPAVEXq89Nhqpp/
Cartão não funciona no exterior! Não consigo contato com a central!,O cartão não está funcionando..estou tentando contato desde sábado e não tem central fora de dias úteis. Quanto finalmente consegu,,Há 20 dias,https://www.reclameaqui.com.br/avenue-securities/cartao-nao-funciona-no-exterior-nao-consigo-contato-com-a-central_iN9eQc7_W92HaoEb/
Impossivel resgatar o meu dinheiro,"Fui notificado com um email informando que o meu saldo está negativo, porém não faço movimentações financeiras a meses. Nem ",,Há 20 dias,https://www.reclameaqui.com.br/avenue-securities/impossivel-resgatar-o-meu-dinheiro_GwgvzKl8zjnOUmUg/
DESRESPEITO E PREJUÍZO,"NO DIA 02/FEV, a Avenue, no momento em que o dólar atinge R$ 4,94 (menor valor em 7 meses) e o seu cliente não consegue fechar o c",,Há 20 dias,https://www.reclameaqui.com.br/avenue-securities/desrespeito-e-prejuizo_NmrKowAxOgVlmjPM/
Encerramento de conta,Fiz o encerramento da minha conta porém voltou a aparecer no relatório de contas ativas do banco central. Solicito encerramento de,,Há 20 dias,https://www.reclameaqui.com.br/avenue-securities/encerramento-de-conta_tYr-ZdC_YURRJTKB/
"Costa que eu estou devendo 3,35 dólares sendo que eu não utilizei o serviço e não sei do que seria essa taxa","Ao consultar minha conta verifiquei  -3,35 dólares e em nenhum momento foi falado o motivo desse saldo estar negativo e quando con",,Há 20 dias,https://www.reclameaqui.com.br/avenue-securities/costa-que-eu-estou-devendo-3-35-dolares-sendo-que-eu-nao-utilizei-o-servico_yE0JbqMgNuc0JhSo/
Saldo Negativo na Avenue,"Fui notificado com um email informando que o meu saldo está negativo, porém não faço movimentações financeiras a meses. ",,Há 21 dias,https://www.reclameaqui.com.br/avenue-securities/saldo-negativo-na-avenue_yjvL4RLU4JHVcBJM/
Compra Não autorizada. Demora estorno,"Registrei uma ocorencia de compra nao autorizada com o meu cartão no dia 08/02/2023, a  resposta enviada pelo banco Avenue é que p",,Há 21 dias,https://www.reclameaqui.com.br/avenue-securities/compra-nao-autorizada-demora-estorno_lZoYuNCs-GyDNxAD/
